SalePrice,Age,GrLivArea,BaseLivArea,Location,Amenities,RoadRail,BedroomAbvGr,Bathrooms,OverallCond,OverallQual,LotFrontage,LotArea,TwoStory_dum,FlatContour_dum,FlatRoof_dum,GarageArea,Garage_dum,CentralAirNum,LowQualFinSF,Fireplaces
208500,7,1710,706,5.215447424970157,0,0,3,2.5,5,7,65.0,8450,1,1,0,548,1,1,0,0
181500,34,1262,978,5.295104549512344,0,0,3,2.0,8,6,80.0,9600,0,1,0,460,1,1,0,1
223500,9,1786,486,5.215447424970157,0,0,3,2.5,5,7,68.0,11250,1,1,0,608,1,1,0,1
140000,95,1717,216,4.920973846914489,0,0,3,1.0,5,7,60.0,9550,1,1,0,642,1,1,0,1
250000,10,2198,655,5.3794002604558395,0,0,4,2.5,5,8,84.0,14260,1,1,0,836,1,1,0,1
143000,17,1362,732,4.593068175943125,0,0,1,1.5,5,5,85.0,14115,1,1,0,480,1,1,0,0
307000,6,1694,1369,5.3794002604558395,0,0,3,2.0,5,8,75.0,10084,0,1,0,636,1,1,0,1
200000,37,2090,891,5.100335026275668,1,0,3,2.5,6,7,,10382,1,1,0,484,1,1,0,2
129900,79,1774,0,4.7934517925866,0,1,2,2.0,5,7,51.0,6120,1,1,0,468,1,1,0,2
118000,71,1077,851,4.772429355304304,0,1,2,1.0,6,5,50.0,7420,0,1,0,205,1,1,0,2
129500,45,1040,906,4.593068175943125,0,0,3,1.0,5,5,70.0,11200,0,1,0,384,1,1,0,0
345000,5,2324,998,5.8378266739971885,0,0,4,3.0,5,9,85.0,11924,1,1,0,736,1,1,0,2
144000,48,912,737,4.772429355304304,0,0,2,1.0,6,5,,12968,0,1,0,352,1,1,0,0
279500,4,1494,0,5.215447424970157,0,0,3,2.0,5,7,91.0,10652,0,1,0,840,1,1,0,1
157000,50,1253,733,4.757021011428807,0,0,2,1.5,5,6,,10920,0,1,0,352,1,1,0,1
132000,81,854,0,5.459057384998027,0,0,2,1.0,8,7,51.0,6120,0,1,0,576,1,1,0,0
149000,40,1004,578,5.115743370151166,0,0,2,1.0,7,6,,11241,0,1,0,480,1,1,0,1
90000,43,1296,0,4.429115340457442,0,0,2,2.0,5,4,72.0,10791,0,1,0,516,1,1,0,0
159000,6,1114,646,4.593068175943125,0,1,3,1.5,5,5,66.0,13695,0,1,0,576,1,1,0,0
139000,52,1339,504,4.644907300976415,0,0,3,1.0,6,5,70.0,7560,0,1,0,294,1,1,0,0
325300,5,2376,0,5.3794002604558395,0,0,4,3.5,5,8,101.0,14215,1,1,0,853,1,1,0,1
139400,80,1108,0,5.279696205636848,0,0,3,1.0,7,7,57.0,7449,0,0,0,280,1,1,0,1
230000,8,1795,0,5.3794002604558395,0,0,3,2.0,5,8,75.0,9742,0,1,0,534,1,1,0,1
129900,34,1060,840,4.951790534665483,0,0,3,1.0,7,5,44.0,4224,0,1,0,572,1,1,0,1
154000,42,1060,856,5.4554520249995635,0,0,3,1.0,8,5,,8246,0,1,0,270,1,1,0,1
256300,3,1600,0,5.3794002604558395,0,0,3,2.0,5,8,110.0,14230,0,1,0,890,1,1,0,1
134800,59,900,720,4.951790534665483,0,0,3,1.0,7,5,60.0,7200,0,1,0,576,1,1,0,0
306000,3,1704,1218,5.3794002604558395,0,0,3,2.0,5,8,98.0,11478,0,1,0,772,1,1,0,1
207500,53,1600,1277,4.772429355304304,0,0,2,1.0,6,5,47.0,16321,0,1,0,319,1,1,0,2
68500,83,520,0,4.608476519818622,0,0,1,1.0,6,4,60.0,6324,0,1,0,240,1,0,0,0
40000,90,1317,0,3.925453850123362,0,0,3,1.0,4,4,50.0,8500,1,1,0,250,1,0,0,0
149350,44,1228,0,4.772429355304304,0,0,3,1.5,6,5,,8544,0,1,0,271,1,1,0,0
179900,3,1234,0,5.3794002604558395,0,0,3,2.0,5,8,85.0,11049,0,1,0,484,1,1,0,0
165500,51,1700,1018,4.593068175943125,0,0,4,1.5,5,5,70.0,10552,0,1,0,447,1,1,0,1
277500,5,1561,1153,5.8378266739971885,0,0,2,2.0,5,9,60.0,7313,0,1,0,556,1,1,0,1
309000,6,2452,0,5.3794002604558395,0,0,4,3.5,5,8,108.0,13418,1,1,0,691,1,1,0,1
145000,16,1097,0,4.593068175943125,0,0,3,1.5,5,5,112.0,10859,0,1,0,672,1,1,0,0
153000,56,1297,1213,4.772429355304304,0,0,3,1.0,6,5,74.0,8532,0,1,0,498,1,1,0,1
109000,57,1057,731,5.276090845638384,0,0,3,1.0,7,5,68.0,7922,0,1,0,246,1,1,0,0
82000,55,1152,0,4.429115340457442,0,0,2,2.0,5,4,65.0,6040,0,1,0,0,0,0,0,0
160000,45,1324,643,4.757021011428807,0,0,3,2.0,5,6,84.0,8658,0,1,0,440,1,1,0,1
170000,51,1328,967,5.096729666277205,0,0,2,1.5,6,5,115.0,16905,0,1,0,308,1,1,0,2
144000,27,884,840,4.951790534665483,0,0,2,1.0,7,5,,9180,0,1,0,504,1,1,0,0
130250,35,938,771,4.772429355304304,0,0,3,1.0,6,5,,9200,0,1,0,308,1,1,0,0
141000,51,1150,685,4.772429355304304,0,0,3,1.0,6,5,70.0,7945,0,1,0,300,1,1,0,0
319900,5,1752,456,5.8378266739971885,0,0,2,2.0,5,9,61.0,7658,0,1,0,576,1,1,0,1
239686,7,2149,1351,5.215447424970157,0,0,1,1.5,5,7,48.0,12822,1,1,0,670,1,1,0,1
249700,4,1656,24,5.3794002604558395,0,0,3,2.0,5,8,84.0,11096,0,1,0,826,1,1,0,0
113000,90,1452,0,4.429115340457442,0,0,2,2.0,5,4,33.0,4456,1,1,0,0,0,1,0,0
127000,44,955,763,4.951790534665483,0,0,3,1.0,7,5,66.0,7742,0,1,0,386,1,1,0,0
