ALink,SName,SLink,Lyric,language,Artist,Genres,Songs,Popularity,Link,release_date,rank,peak_rank,weeks_on_board
/lauryn-hill/,Ex-Factor,/lauryn-hill/ex-factor.html,"It could all be so simple
But you'd rather make it hard
Loving you is like a battle
And we both end up with scars
Tell me, who I have to be
To get some reciprocity
No one loves you more than me
And no one ever will
Is it just a silly game
That forces you to act this way
Forces you to scream my name
Then pretend that you can't stay
Tell me, who I have to be
To get some reciprocity
See no one loves you more than me and no one ever will.
No matter how deep we grow
You always seem to let me know
It ain't workin'
It ain't workin'
And when I try to walk away
You hurt yourself to make me stay
This is crazy
This is crazy

I keep letting you back in
How can I explain myself
As painful as this thing has been
I just can't be with no one else
See I know what we've got to do
You let go and I'll let go too
Cause no one's hurt me more than you
And no one ever will
No matter how deep we grow
You always seem to let me know
It ain't workin'
It ain't workin'
And when I try to walk away
You hurt yourself to make me stay
This is crazy
This is crazy
Oh this is crazy

Care for me, care for me
I know you care for me
There for me there for me
Said you'd be there for me
Cry for me cry for me
You said you'd die for me
Give to me give to me
Why don't you live for me.
(repeat to fade)",en,Lauryn Hill,Black Music; Soul Music; Hip Hop,60.0,5.2,/lauryn-hill/,1999-04-17,29.0,21.0,15.0
/lauryn-hill/,Everything Is Everything,/lauryn-hill/everything-is-everything.html,"Everything Is Everything
Everything is everything
What is meant to be, will be
After winter, must come spring
Change, it comes eventually
(2x)

I wrote these words for everyone
Who struggles in their youth
Who won't accept deception
Instead of what is truth
It seems we lose the game,
Before we even start to play
Who made these rules? We're so confused
Easily led astray
Let me tell ya that
Everything is everything
Everything is everything
After winter, must come spring
Everything is everything

I philosophy
Possibly speak tongues
Beat drum, Abyssinian, street Baptist
Rap this in fine linen
From the beginning
My practice extending across the atlas
I begat this
Flippin' in the ghetto on a dirty mattress
You can't match this rapper / actress
More powerful than two Cleopatras
Bomb graffiti on the tomb of Nefertiti
MCs ain't ready to take it to the Serengeti
My rhymes is heavy like the mind of Sister Betty
L. Boogie spars with stars and constellations
Then came down for a little conversation
Adjacent to the king, fear no human being
Roll with cherubims to Nassau Coliseum
Now hear this mixture
Where hip hop meets scripture
Develop a negative into a positive picture

Now, everything is everything
What is meant to be, will be
After winter, must come spring
Change, it comes eventually

Sometimes it seems
We'll touch that dream
But things come slow or not at all
And the ones on top, won't make it stop
So convinced that they might fall
Let's love ourselves then we can't fail
To make a better situation
Tomorrow, our seeds will grow
All we need is dedication

Let me tell ya that,
Everything is everything
Everything is everything
After winter, must come spring
Everything is everything

Everything is everything
What is meant to be, will be
After winter, must come spring
Change, it comes eventually
",en,Lauryn Hill,Black Music; Soul Music; Hip Hop,60.0,5.2,/lauryn-hill/,1999-07-31,35.0,35.0,7.0
/destinys-child/,Survivor,/destinys-child/survivor.html,"Now that you're out of my life
I'm so much better
You thought that I'd be weak without you
But I'm stronger
You thought that I'd be broke without you
But I'm richer
You thought that I'd be sad without you
I laugh harder
You thought I wouldn't grow without you
Now I'm wiser
Though that I'd be helpless without you
But I'm smarter
You thought that I'd be stressed without you
But I'm chillin'
You thought I wouldn't sell without you
Sold 9 million

I'm a survivor (What?)
I'm not gon give up (What?)
I'm not gon stop (What?)
I'm gon work harder (What?)
I'm a survivor (What?)
I'm gonna make it (What?)
I will survive (What?)
Keep on survivin' (What?)

I'm a survivor (What?)
I'm not gon give up (What?)
I'm not gon stop (What?)
I'm gon work harder (What?)
I'm a survivor (What?)
I'm gonna make it (What?)
I will survive (What?)
Keep on survivin' (What?)

Thought I couldn't breathe without you
I'm inhaling
You thought I couldn't see without you
Perfect vision
You thought I couldn't last without you
But I'm lastin'
You thought that I would die without you
But I'm livin'
Thought that I would fail without you
But I'm on top
Thought it would be over by now
But it won't stop
Thought that I would self destruct
But I'm still here
Even in my years to come
I'm still gon be here

I'm a survivor (What?)
I'm not gon give up (What?)
I'm not gon stop (What?)
I'm gon work harder (What?)
I'm a survivor (What?)
I'm gonna make it (What?)
I will survive (What?)
Keep on survivin' (What?)

I'm a survivor (What?)
I'm not gon give up (What?)
I'm not gon stop (What?)
I'm gon work harder (What?)
I'm a survivor (What?)
I'm gonna make it (What?)
I will survive (What?)
Keep on survivin' (What?)

I'm wishin' you the best
Pray that you are blessed
Bring much success, no stress, and lots of happiness
(I'm better than that)
I'm not gon blast you on the radio
(I'm better than that)
I'm not gon lie on you and evalue
(I'm better than that)
I'm not gon hate on you in the magazines
('m better than that)
I'm not gon compromise my Christianity
(I'm better than that)
You know I'm not gon diss you on the internet
Cause my mama taught me better than that

I'm a survivor (What?)
I'm not gon give up (What?)
I'm not gon stop (What?)
I'm gon work harder (What?)
I'm a survivor (What?)
I'm gonna make it (What?)
I will survive (What?)
Keep on survivin' (What?)

I'm a survivor (What?)
I'm not gon give up (What?)
I'm not gon stop (What?)
I'm gon work harder (What?)
I'm a survivor (What?)
I'm gonna make it (What?)
I will survive (What?)
Keep on survivin' (What?)

Oh (oh) oh (oh)

After of all of the darkness and sadness
Soon comes happiness
If I surround myself with positive things
I'll gain prosperity

I'm a survivor (What?)
I'm not gon give up (What?)
I'm not gon stop (What?)
I'm gon work harder (What?)
I'm a survivor (What?)
I'm gonna make it (What?)
I will survive (What?)
Keep on survivin' (What?)

repeat until song fades out",en,Destiny's Child,Black Music; R&B; Hip Hop,125.0,5.5,/destinys-child/,2001-07-21,80.0,2.0,19.0
/destinys-child/,Emotion,/destinys-child/emotion.html,"It's over and done
But the heartache lives on inside
And who's the one you're clinging to
Instead of me tonight?

And where are you now, now that I need you?
Tears on my pillow wherever you go
I'll cry me a river that leads to your ocean
You'll never see me fall apart

In the words of a broken heart
It's just emotions taking me over
Caught up in sorrow
Lost in the song
But if you don't come back
Come home to me, darling
Don't you know there's nobody left in this world
to hold me tight?
Don't you know there's nobody left in this world
to kiss goodnight
Goodnight, goodnight

I'm there at your side,
I'm part of all the things you are
But you've got a part of someone else
You've got to go find your shining star

And where are you now, now that I need you?
Tears on my pillow wherever you go
I'll cry me a river that leads to your ocean
You'll never see me fall apart

In the words of a broken heart
It's just emotions taking me over
Caught up in sorrow
Lost in the song
But if you don't come back
Come home to me, darling
Don't you know there's nobody left in this world
to hold me tight?
Don't you know there's nobody left in this world
to kiss goodnight
Goodnight, goodnight

And where are you now, now that I need you?
Tears on my pillow wherever you go
I'll cry me a river that leads to your ocean
You'll never see me fall apart

In the words of a broken heart
It's just emotions taking me over
Caught up in sorrow
Lost in the song
But if you don't come back
Come home to me, darling
Don't you know there's nobody left in this world
to hold me tight?
Don't you know there's nobody left in this world
to kiss goodnight
Goodnight, goodnight",en,Destiny's Child,Black Music; R&B; Hip Hop,125.0,5.5,/destinys-child/,2002-02-02,76.0,10.0,19.0
/destinys-child/,Say My Name,/destinys-child/say-my-name.html,"Say my name, say my name
If no one is around you
Say, ""Baby, I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kind of shady
Ain't callin' me baby
Why the sudden change

Say my name, say my name
If no one is around you
Say, ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kind of shady
Ain't callin' me baby
Better say my name

Any other day, I would call, you would say
""Baby, how's your day"", but today, it ain't the same
Every other word is, ""uh huh, yeah okay""
Could it be that you are at the crib with another lady
If you took there, first of all, let me say
I am not the one to sit around and be played
So prove yourself to me and the other girl you playin'
Why don't you say the things you said to me yesterday

I know you sayin' that I'm assuming things
(Something's goin' down, that's the way it seems)
Shouldn't be the reason why you're acting strange
(If nobody's holding you back from me)
Cause I know how you usually do
(When you sayin' everything to me, times two)
Why can't you just tell the truth
(If someone's there then tell me who)

Say my name, say my name
If no one is around you
Say, ""Baby, I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kind of shady
Ain't callin' me baby
Why the sudden change

Say my name, say my name
If no one is around you
Say, ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kind of shady
Ain't callin' me baby
Better say my name

What is up with this, tell the truth, who you with
How would you like it if I came over with my clique
Don't try to change it now, see you got to bounce
When two seconds ago, said, you just got in the house
It's so hard to believe that you are home by yourself
When I just heard the voice, the voice of someone else
Just this question, why do you feel you got to lie
I'm caught in your game, when you cannot say my name

I know you sayin' that I'm assuming things
(Somethings goin' down, that's the way it seems)
Shouldn't be the reason why you're acting strange
(If nobody's holding you back from me)
Cause I know how you usually do
(When you sayin' everything to me, times two)
Why can't you just tell the truth
(If someone's there then tell me who)

Say my name, say my name
If no one is around you
Say, ""Baby, I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kind of shady
Ain't callin' me baby
Why the sudden change

Say my name, say my name
If no one is around you
Say, ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kind of shady
Ain't callin' me baby
Better say my name
Yeah, yeah, yeah.......
Oh

I know you sayin' that I'm assuming things
(Somethings goin' down, that's the way it seems)
Shouldn't be the reason why you're acting strange
(If nobody's holding you back from me)
Cause I know how you usually do
(When you sayin' everything to me, times two)
Why can't you just tell the truth
(If someone's there then tell me who)

Say my name, say my name
If no one is around you
Say, ""Baby, I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kind of shady
Ain't callin' me baby
Why the sudden change

Say my name, say my name
If no one is around you
Say, ""Baby I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kind of shady
Ain't callin' me baby
Better say my name.",en,Destiny's Child,Black Music; R&B; Hip Hop,125.0,5.5,/destinys-child/,2000-06-17,18.0,1.0,26.0
/destinys-child/,"Bills, Bills, Bills",/destinys-child/bills-bills-bills.html,"At first we started out real cool
Taking me places I ain't never been
But now, you're getting comfortable
Ain't doing those things you did no more
You're slowly making me pay for things your money should be handling
And now you ask to use my car (caaaar)
Drive it all day and don't fill up the tank
And you have the audacity to even come and step to me
Ask to hold some money from me until you get your check next week

(Bridge):
You trifling, good for nothing type of brother.
Oh Silly me, why haven't I found another
A baller, when times get hard he's the one to help me out
Instead of a scrub like you who don't know what a man's about

(Chorus):
Can you pay my bills
Can you pay my telephone bills
Can you pay my automo-bills
If you did then maybe we could chill
I don't think you do
So, you and me are through

(Repeat)

Now you've been maxing out my card (caaaard)
Givin' me bad credit, buyin' gifts with my own name
Haven't paid the first bill
But you're steady heading to the mall
Goin' on shopping sprees
Perpetrating to your friends like you be ballin'

And then you use my cell phone (phoooone)
Calling whoever that you think at home
And then when the bill comes all of a sudden you be acting dumb
Don't know where none of these calls come from
When your momma's number's here more than once

(Bridge):
You trifling, good for nothing type of brother.
Oh Silly me, why haven't I found another
A baller, when times get hard he's the one to help me out
Instead of a scrub like you who don't know what a man's about

(Chorus):
Can you pay my bills
Can you pay my telephone bills
Can you pay my automo-bills
If you did then maybe we could chill
I don't think you do
So, you and me are through

(Chorus):
Can you pay my bills
Can you pay my telephone bills
Can you pay my automo-bills
If you did then maybe we could chill
I don't think you do
So, you and me are through

You trifling, good for nothing type of brother
Oh silly me, why haven't I found another
You trifling, good for nothing type of brother
Oh silly me, why haven't I found another

You trifling, good for nothing type of brother
Oh silly me, why haven't I found another
You trifling, good for nothing type of brother
Oh silly me, why haven't I found another

(Chorus):
Can you pay my bills
Can you pay my telephone bills
Can you pay my automo-bills
If you did then maybe we could chill
I don't think you do
So, you and me are through

Repeat Chorus (4)
",en,Destiny's Child,Black Music; R&B; Hip Hop,125.0,5.5,/destinys-child/,1999-09-18,12.0,1.0,14.0
/destinys-child/,Girl,/destinys-child/girl.html,"(Beyonce)
Take a minute girl, come sit down
And tell us what's been happening
In your face I can see the pain
Don't you try to convince us that you're happy (yeah)
We've seen this all before
But he's taking advantage of the passion
Because we've come too far
For you to feel alone
You don't let him walk over your heart
I'm telling you

(Chorus)
Girl, I can tell you've been crying
And you needing somebody to talk to
Girl, I can tell he's been lying
And pretending that he's faithful and he loves you
Girl, you don't have to be hiding
Don't you be ashamed to say he hurt you
I'm your girl, you're my girl, we're the girls
Don't you know that we love ya

(Kelly)
See, what y'all don't know about him
Is I can't let him go because he needs me
It ain't really him, it's stress from his job
And I ain't making it easy
I know you see him bugging most of the time
But I know deep inside, he don't mean it
It gets hard sometimes
But I need my man
I don't think y'all understand
I'm telling you

(Chorus)
Girl, I can tell you've been crying
And you needing somebody to talk to
(we understand, don't be ashamed of your friend)
Girl, I can tell he's been lying
(oh, I can tell he's been lying to you)
And pretending that he's faithful and he loves you
(he's not good for you)
Girl, you don't have to be hiding
Don't you be ashamed to say he hurt you
I'm your girl, you're my girl, we're the girls
Don't you know that we love ya

Girl, I can tell you've been crying
(girl, I can tell you've been crying)
And you needing somebody to talk to
(I can see it in your eyes)
Girl, I can tell he's been lying
(I can tell he's been lying)
And pretending that he's faithful and he loves you
(I can see it in you)
Girl, you don't have to be hiding
(I know what your feeling girl)
Don't you be ashamed to say he hurt you
I'm your girl, you're my girl, we're the girls
Don't you know that we love ya

(Michelle)
(Girl) girl, take a good look at yourself
He got you going through hell
We ain't never seen ya down like this
What you mean, you don't need us to help
We known each other too well
I'm your girl, you're my girl, we're the girls
And don't you know we love ya

Yeah

(Chorus)
Girl, I can tell you've been crying (girl)
And you needing somebody to talk to
Girl, I can tell he's been lying
(I been knowin' you since you was ten
You cannot hide from your friends, girl)
And pretending that he's faithful and he loves you
Girl, you don't have to be hiding
Don't you be ashamed to say he hurt you
I'm your girl, you're my girl, we're the girls
Don't you know that we love ya

Girl, I can tell you've been crying
And you needing somebody to talk to
Girl, I can tell he's been lying
And pretending that he's faithful and he loves you
Girl, you don't have to be hiding
Don't you be ashamed to say he hurt you
I'm your girl, you're my girl, we're the girls
Don't you know that we love ya",en,Destiny's Child,Black Music; R&B; Hip Hop,125.0,5.5,/destinys-child/,2005-05-28,23.0,23.0,9.0
/destinys-child/,Cater 2 U,/destinys-child/cater-2-u.html,"[Verse 1 Beyonce]




Baby I See You Working Hard
I Wanna Let You Know I'm Proud,
Let You Know That I Admire What You Do
The More If I Need To Reassure You, My Life Would Be
Purposeless Without You (Yeah)
If I Want It (Got It)
When I Ask You (You Provide It)
You Inspire Me To Be Better
You Challenge Me For The Better
Sit Back And Let Me Pour Out My Love Letter

Let Me Help You
Take Off Your Shoes
Untie Your Shoe strings
Take Off Your Cuff links (Yeah)
What You Wanna Eat Boo? (Yeah)
Let Me Feed You
Let Me Run Your Bath water
Whatever You Desire, I'll supply ya
Sing You A Song
Turn the Game On
I'll Brush Your Hair
Help Put Your Do Rag On
Want A Foot Rub? (Yeah)
You Want A Manicure?
Baby I'm Yours I Wanna Cater To You Boy

[Chorus]
Let Me Cater To You
Cause Baby This Is Your Day
Do Anything For My Man
Baby You Blow Me Away
I Got Your Slippers, Your Dinner, Your Dessert, And So
Much More
Anything You Want Just Let Me Cater To You
Inspire Me From The Heart,
Can't Nothing Tear Us Apart
You're All That I Want In A Man;
I Put My Life In Your Hands
I Got Your Slippers, Your Dinner, Your Dessert, And So
Much More
Anything You Want, I Wanna Cater To You

[Verse 2 Kelly]
Baby I'm Happy You're Home,
Let Me Hold You In My Arms
I Just Wanna Take The Stress Away From You
Making Sure That I'm Doing My Part (Oh)
Boy Is There Something You Need Me To Do (Oh)
If You Want It (I Got It)
Say The Word (I Will Try It)
I Know Whatever I'm Not Full filling (Oh)
another Woman Is Willing (Oh)
I'm Going To Fullfill Your Mind, Body, And Spirit

I'll Promise You (Promise You)
I'll Keep Myself Up (Oh)
Remain The Same Chick (Yeah)
You Fell In Love With (Yeah)
I'll Keep It Tight, I'll Keep My Figure Right
I'll Keep My Hair Fixed, Keep Rocking The Hottest
Outfits
When You Come Home Late Tap Me On My Shoulder, I'll
Roll Over
Baby I Heard You, I'm Here To Serve You (I'm Lovin It,
I'm Lovin It)
If It's Love You Need, To Give It Is My Joy
All I Wanna Do, Is Cater To You Boy

[Chorus]

[Bridge Michelle]
I Wanna Give You My Breath, My Strength, My Will To
live
That's The Least I Can Do,
Let Me Cater To You
Through The Good (Good)
The Bad (Through The Bad)
The Ups And Downs (Ups And Downs)
I'll Still Be Here For You
Let Me Cater To You
Cause You're Beautiful (You're Beautiful)
I Love The Way You Are (You Are)
Fulfill Your Every Desire (Desire)
Your Wish Is My Command (Command)
I Wanna Cater To My Man
Your Heart (Your Heart)
So Pure Your Love Shines Through(Shines Through)
The Darkness We'll Get Through (So Much)
So Much Of Me Is You (Is You)
I Wanna Cater To My Man

[Chorus Out]

[Brige Beyoncé]
Oohhh
Anything for you baby
Oh! You blow me away
I just want to serve you baby
Anything you ever want, ever need
Yeaahh
I don't care what my momma say, my daddy say
No no noo Oohh
You're so to good to me

[Chorus Out]",en,Destiny's Child,Black Music; R&B; Hip Hop,125.0,5.5,/destinys-child/,2005-09-24,29.0,14.0,22.0
/destinys-child/,Lose My Breath,/destinys-child/lose-my-breath.html,"Hit me!
Can you keep up
Baby boy, make me lose my breath
Bring the noise, make me lose my breath
Hit me hard, make me lose my ah, ah
Can you keep up
Baby boy, make me lose my breath
Bring the noise, make me lose my breath
Hit me hard, make me lose my breath

Ooh, I put it right there, made it easy for you to get to
Now you wanna act like you don't know what to do
After I done, did everything that you asked me
Grabbed you, grind you, liked you, tried you
Moved so fast, baby, now I can't find you

Ooh, I'm startin' to believe that I'm way too much for you
All that talk but it seems like you can't come through
all them nights, like you could satisfy me
Now I see where believing you got me
Gave you the wheel but you can't drive me

Can you keep up
Baby boy, make me lose my breath
Bring the noise, make me lose my breath
Hit me hard, make me lose my ah, ah
Can you keep up
Baby boy, make me lose my breath
Bring the noise, make me lose my breath
Hit me hard, make me lose my breath

Ooh, two things I don't like when I'm tryin' get my groove
Is a partner that meets me only halfway and just can't prove
Take me out so deep when you know you can't swim
Need a lifeguard and I need protection
To put it on me deep in the right direction

Ooh, you understand the facts that I'm trying' get to you
You movin' so slow like you just don't have a clue
Didn't Mama teach you to give affection
I know the difference from a man and an adolescent
It ain't you boo, so get to steppin'

Can you keep up
Baby boy, make me lose my breath
Bring the noise, make me lose my breath
Hit me hard, make me lose my ah, ah
Can you keep up
Baby boy, make me lose my breath
Bring the noise, make me lose my breath
Hit me hard, make me lose my breath

If you can't make me say, 'ooh'
Like the beat of this drum
Why you ask for some
You ain't really want none
If you can't make me say, 'ooh'
Like the beat of this groove
You don't have no business in this
Here's your papers, baby you are dismissed

Can you keep up
Baby boy, make me lose my breath
Bring the noise, make me lose my breath
Hit me hard, make me lose my ah, ah
Can you keep up
Baby boy, make me lose my breath
Bring the noise, make me lose my breath
Hit me hard, make me lose my breath

Can you keep up
Baby boy, make me lose my breath
Bring the noise, make me lose my breath
Hit me hard, make me lose my ah, ah
Can you keep up
Baby boy, make me lose my breath
Bring the noise, make me lose my breath
Hit me hard, make me lose my breath",en,Destiny's Child,Black Music; R&B; Hip Hop,125.0,5.5,/destinys-child/,2005-01-01,9.0,3.0,15.0
/destinys-child/,Bootylicious,/destinys-child/bootylicious.html,"Kelly, can you handle this?
Michelle, can you handle this?
Beyonce, can you handle this?
I don't think they can handle this! (WHOO!)

Barely moved, we've arrived
Lookin' sexy, lookin' fly
Baddest chick, chick inside
Dj, Gemini
Spotted me a tender thang
There you are, come on baby
Don't you wanna, dance with me
Can you handle, handle me?

You gotta do much better if you gone dance with me tonight
You gotta work your jelly if you gone dance with me
tonight
Read my lips carefully if you like what you see
Move, groove, prove you can handle me
By the looks I got you shook up and scared of me
Hook up your seatbelt it's time for takeoff

I don't think you ready for this jelly
I don't think you ready for this jelly
I don't think you ready for this
Cause my body's too bootylicious for ya babe

I don't think you ready for this jelly
I don't think you ready for this jelly
I don't think you ready for this
Cause my body's too bootylicious for ya babe

Baby, can you handle this?
Baby, can you handle this?
Baby, can you handle this?
I don't think you can handle this!

I'm about to break you off
H-town goin hard
Lead my hips, slap my thighs
Swing my hair, square my eyes
Lookin' hot, smellin' good
Groovin' like I'm from the hood
Look over my shoulder, I blow you a kiss
Can you handle, handle this?

I don't think you ready for this jelly
I don't think you ready for this jelly
I don't think you ready for this
Cause my body's too bootylicious for ya babe

I don't think you ready for this jelly
I don't think you ready for this jelly
I don't think you ready for this
Cause my body's too bootylicious for ya babe

Move your body up and down (whoo!)
Make your booty touch the ground (whoo!)
I can't help but wonder why (whoo!)
Is my vibe to vibealacious for you, babe

I shake my jelly at every chance
When I whip with my hip you slip into a trance
I'm hopin you can handle all this jelly that I have
Now let's cut a rug while we scat some
jazz

I don't think you ready for this jelly
I don't think you ready for this jelly
I don't think you ready for this
Cause my body's too bootylicious for ya babe
(repeat it x6)",en,Destiny's Child,Black Music; R&B; Hip Hop,125.0,5.5,/destinys-child/,2001-08-11,1.0,1.0,10.0
