SalePrice,Age,GrLivArea,BaseLivArea,Location,Amenities,RoadRail,BedroomAbvGr,Bathrooms,OverallCond,OverallQual,LotFrontage,LotArea,TwoStory_dum,FlatContour_dum,FlatRoof_dum,GarageArea,Garage_dum,CentralAirNum,LowQualFinSF,Fireplaces
208500,7,1710,706,4.195270990347046,0,0,3,2.5,5,7,65.0,8450,1,1,0,548,1,1,0,0
181500,34,1262,978,4.274928114889233,0,0,3,2.0,8,6,80.0,9600,0,1,0,460,1,1,0,1
223500,9,1786,486,4.195270990347046,0,0,3,2.5,5,7,68.0,11250,1,1,0,608,1,1,0,1
140000,95,1717,216,3.9007974122913778,0,0,3,1.0,5,7,60.0,9550,1,1,0,642,1,1,0,1
250000,10,2198,655,4.3592238258327285,0,0,4,2.5,5,8,84.0,14260,1,1,0,836,1,1,0,1
143000,17,1362,732,3.5728917413200136,0,0,1,1.5,5,5,85.0,14115,1,1,0,480,1,1,0,0
307000,6,1694,1369,4.3592238258327285,0,0,3,2.0,5,8,75.0,10084,0,1,0,636,1,1,0,1
200000,37,2090,891,4.080158591652557,1,0,3,2.5,6,7,8.0,10382,1,1,0,484,1,1,0,2
129900,79,1774,0,3.9007974122913778,0,1,2,2.0,5,7,51.0,6120,1,1,0,468,1,1,0,2
118000,71,1077,851,3.752252920681193,0,1,2,1.0,6,5,50.0,7420,0,1,0,205,1,1,0,2
129500,45,1040,906,3.5728917413200136,0,0,3,1.0,5,5,70.0,11200,0,1,0,384,1,1,0,0
345000,5,2324,998,4.817650239374077,0,0,4,3.0,5,9,85.0,11924,1,1,0,736,1,1,0,2
144000,48,912,737,3.752252920681193,0,0,2,1.0,6,5,13.0,12968,0,1,0,352,1,1,0,0
279500,4,1494,0,4.195270990347046,0,0,3,2.0,5,7,91.0,10652,0,1,0,840,1,1,0,1
157000,50,1253,733,3.7368445768056957,0,0,2,1.5,5,6,15.0,10920,0,1,0,352,1,1,0,1
132000,81,854,0,4.438880950374916,0,0,2,1.0,8,7,51.0,6120,0,1,0,576,1,1,0,0
149000,40,1004,578,4.095566935528055,0,0,2,1.0,7,6,17.0,11241,0,1,0,480,1,1,0,1
90000,43,1296,0,3.408938905834331,0,0,2,2.0,5,4,72.0,10791,0,1,0,516,1,1,0,0
